GEOID20,District
080310015002008,1
080310015002009,1
080310015002010,1
080310015002011,1
080310015002012,1
080310015002013,1
080310015002014,1
080310015002015,1
080310015002016,1
080310015002017,1
080310015002018,1
080310015002019,1
080310015002020,1
080310015002021,1
080310015002022,1
080310015002023,1
080310015002024,1
080310015002025,1
080310015002026,1
080310015002027,1
080310015002028,1
080310015002029,1
080310015002030,1
080310015003000,1
080310015003001,1
080310015003002,1
080310015003003,1
080310015003004,1
080310015004008,1
080010087053018,7
080010089011000,7
080010089011001,7
080010089011002,7
080010089011003,7
080010089011004,7
080010089011005,7
080010089011006,7
080010089011007,7
080010089011008,7
080010089011009,7
080010089011010,7
080010089011012,7
080010089011013,7
080010089011014,7
080010089011015,7
080010089011016,7
080010089011017,7
080010089011018,7
080010089011019,7
080010089011020,7
080010089011021,7
080010089011022,7
080010089011023,7
080010089011024,7
080010089011025,7
080010089011026,7
080010089011027,7
080010089011028,7
080010089011029,7
080010089011030,7
080010089011031,7
080010089011032,7
080010089011033,7
080010089011034,7
080010089011035,7
080010089011036,7
080010089011037,7
080010089011038,7
080010089011039,7
080010089011040,7
080010089011041,7
080010089011042,7
080010089011043,7
080010089011044,7
080010089011045,7
080010089011046,7
080010089011047,7
080010089011048,7
080010089011049,7
080010089011050,7
080010089011051,7
080010089011052,7
080010089011074,7
080010089012000,7
080010089012001,7
080010089012002,7
080010089012003,7
080010089012004,7
080010089012005,7
080010089012006,7
080010089012007,7
080010089012008,7
080010089012009,7
080010089012010,7
080010089012011,7
080010089012012,7
080010089012013,7
080010089012014,7
080010089012015,7
080010089012018,7
080010089012019,7
080010089012020,7
080010089012021,7
080010150002017,7
080010095024000,7
080010095024001,7
080010095024002,7
080010095024003,7
080010095024004,7
080010095024005,7
080010095024006,7
080010095024007,7
080010095024008,7
080010095024009,7
080010095024010,7
080010095024011,7
080010095024012,7
080010095024013,7
080010095024014,7
080010096062007,7
080010096062008,7
080010096062009,7
080010096062010,7
080010096062013,7
080010096062014,7
080010096062015,7
080010096062016,7
080010096062017,7
080010096062018,7
080010096072000,7
080010096072002,7
080010096072003,7
080010096072004,7
080010096072007,7
080010096072008,7
080010096072009,7
080010096072010,7
080010096072011,7
080010096072012,7
080010096072013,7
080010096072014,7
080010096072015,7
080010096072016,7
080010096072017,7
080010096073005,7
080010096081000,7
080010096081005,7
080010097511000,7
080010097511001,7
080010097511006,7
080010097511007,7
080010097512000,7
080010097512001,7
080010097522010,7
080010095011000,7
080010095011001,7
080010095011002,7
080010095011003,7
080010095011004,7
080010095011005,7
080010095011006,7
080010095011007,7
080010095011008,7
080010095011009,7
080010095011010,7
080010095011011,7
080010095011012,7
080010095011013,7
080010095011014,7
080010095021000,7
080010095021001,7
080010095021002,7
080010095021003,7
080010095021004,7
080010095021005,7
080010095021006,7
080010095021007,7
080010095021008,7
080010095021009,7
080010095021010,7
080010095021011,7
080010095021012,7
